timestamp;SID;Etapa;Subetapa;Remoto;Local
03/07-14:51:55.797145 ;384;1;0;202.77.162.213;172.16.112.10
03/07-14:51:55.797195 ;408;1;0;202.77.162.213;172.16.112.10
03/07-15:15:10.023115 ;585;2;0;202.77.162.213;172.16.112.10
03/07-15:15:10.026586 ;1957;2;0;202.77.162.213;172.16.112.10
03/07-15:34:36.436981 ;585;2;0;202.77.162.213;172.16.112.10
03/07-15:34:36.446841 ;2256;3;1;202.77.162.213;172.16.112.10
03/07-15:34:36.446841 ;1911;3;1;202.77.162.213;172.16.112.10
03/07-15:34:38.474587 ;585;2;0;202.77.162.213;172.16.112.10
03/07-15:34:38.484026 ;2256;3;1;202.77.162.213;172.16.112.10
03/07-15:34:38.484026 ;1911;3;1;202.77.162.213;172.16.112.10
03/07-15:34:40.543359 ;716;4;10;202.77.162.213;172.16.112.10
03/07-15:34:44.621003 ;1251;3;0;202.77.162.213;172.16.112.10
03/07-15:34:44.621003 ;718;3;0;202.77.162.213;172.16.112.10
03/07-15:34:44.666795 ;585;2;0;202.77.162.213;172.16.112.10
03/07-15:34:44.676326 ;2256;3;1;202.77.162.213;172.16.112.10
03/07-15:34:44.676326 ;1911;3;1;202.77.162.213;172.16.112.10
03/07-15:34:46.704832 ;585;2;0;202.77.162.213;172.16.112.10
03/07-15:34:46.714261 ;2256;3;1;202.77.162.213;172.16.112.10
03/07-15:34:46.714261 ;1911;3;1;202.77.162.213;172.16.112.10
03/07-15:34:48.774912 ;716;4;10;202.77.162.213;172.16.112.10
03/07-15:50:21.064056 ;716;2;1;202.77.162.213;172.16.112.10
03/07-15:50:21.344974 ;610;3;1;202.77.162.213;172.16.112.10
03/07-15:50:21.544941 ;610;3;1;202.77.162.213;172.16.112.10
