timestamp;SID;Etapa;Subetapa;Remoto;Local
03/07-14:51:36.142272 ;384;1;0;202.77.162.213;172.16.115.5
03/07-14:51:36.142481 ;408;1;0;202.77.162.213;172.16.112.194
03/07-14:51:36.522920 ;384;1;0;202.77.162.213;172.16.115.20
03/07-14:51:36.523117 ;408;1;0;202.77.162.213;172.16.115.20
03/07-14:51:38.224662 ;384;1;0;202.77.162.213;172.16.115.87
03/07-14:51:38.225436 ;408;1;0;202.77.162.213;172.16.115.87
03/07-14:51:41.955315 ;384;1;0;202.77.162.213;172.16.115.234
03/07-14:51:41.955526 ;408;1;0;202.77.162.213;172.16.112.194
03/07-14:51:50.267161 ;384;1;0;202.77.162.213;172.16.113.50
03/07-14:51:50.267354 ;408;1;0;202.77.162.213;172.16.113.50
03/07-14:51:51.133917 ;384;1;0;202.77.162.213;172.16.113.84
03/07-14:51:51.134111 ;408;1;0;202.77.162.213;172.16.112.194
03/07-14:51:51.667931 ;384;1;0;202.77.162.213;172.16.113.105
03/07-14:51:51.668699 ;408;1;0;202.77.162.213;172.16.113.105
03/07-14:51:52.761594 ;384;1;0;202.77.162.213;172.16.113.148
03/07-14:51:52.762437 ;408;1;0;202.77.162.213;172.16.113.148
03/07-14:51:53.271311 ;384;1;0;202.77.162.213;172.16.113.168
03/07-14:51:53.271560 ;408;1;0;202.77.162.213;172.16.112.194
03/07-14:51:53.296596 ;384;1;0;202.77.162.213;172.16.113.169
03/07-14:51:53.296729 ;408;1;0;202.77.162.213;172.16.112.194
03/07-14:51:54.187090 ;384;1;0;202.77.162.213;172.16.113.204
03/07-14:51:54.187263 ;408;1;0;202.77.162.213;172.16.112.194
03/07-14:51:54.263051 ;384;1;0;202.77.162.213;172.16.113.207
03/07-14:51:54.263207 ;408;1;0;202.77.162.213;172.16.112.194
03/07-14:51:55.797145 ;384;1;0;202.77.162.213;172.16.112.10
03/07-14:51:55.797195 ;408;1;0;202.77.162.213;172.16.112.10
03/07-14:51:56.050265 ;384;1;0;202.77.162.213;172.16.112.20
03/07-14:51:56.050431 ;408;1;0;202.77.162.213;172.16.112.194
03/07-14:51:56.814707 ;384;1;0;202.77.162.213;172.16.112.50
03/07-14:51:56.814875 ;408;1;0;202.77.162.213;172.16.112.50
03/07-14:51:58.090533 ;384;1;0;202.77.162.213;172.16.112.100
03/07-14:51:58.090686 ;408;1;0;202.77.162.213;172.16.112.100
03/07-14:51:58.220440 ;384;1;0;202.77.162.213;172.16.112.105
03/07-14:51:58.223819 ;408;1;0;202.77.162.213;172.16.112.105
03/07-14:51:59.339156 ;384;1;0;202.77.162.213;172.16.112.149
03/07-14:51:59.339355 ;408;1;0;202.77.162.213;172.16.112.194
03/07-14:52:00.486236 ;384;1;0;202.77.162.213;172.16.112.194
03/07-14:52:00.486393 ;408;1;0;202.77.162.213;172.16.112.194
03/07-14:52:00.817879 ;384;1;0;202.77.162.213;172.16.112.207
03/07-14:52:00.818096 ;408;1;0;202.77.162.213;172.16.112.194
03/07-15:08:07.354091 ;585;2;0;202.77.162.213;172.16.115.20
03/07-15:08:07.359636 ;1957;2;0;202.77.162.213;172.16.115.20
03/07-15:08:07.495446 ;585;2;0;202.77.162.213;172.16.115.87
03/07-15:08:07.495714 ;402;2;0;202.77.162.213;172.16.112.194
03/07-15:08:12.500631 ;585;2;0;202.77.162.213;172.16.115.87
03/07-15:08:12.500895 ;402;2;0;202.77.162.213;172.16.112.194
03/07-15:08:17.510789 ;585;2;0;202.77.162.213;172.16.115.87
03/07-15:08:17.511004 ;402;2;0;202.77.162.213;172.16.112.194
03/07-15:08:22.520758 ;585;2;0;202.77.162.213;172.16.115.87
03/07-15:08:22.521023 ;402;2;0;202.77.162.213;172.16.112.194
03/07-15:08:27.530805 ;585;2;0;202.77.162.213;172.16.115.87
03/07-15:08:27.531023 ;402;2;0;202.77.162.213;172.16.112.194
03/07-15:08:32.540866 ;585;2;0;202.77.162.213;172.16.115.87
03/07-15:08:32.541135 ;402;2;0;202.77.162.213;172.16.112.194
