timestamp;SID;Etapa;Subetapa;Remoto;Local
2014/08/10 00:00:02.952899 ;1334;2;0;10.5.1.110;10.5.12.2
2014/08/10 00:00:03.762056 ;2118;3;1;10.5.10.2;10.5.1.2
2014/08/10 00:00:04.032948 ;3007;3;1;10.5.6.2;10.5.1.2
2014/08/10 00:00:04.777640 ;1142;2;4;10.5.1.110;10.5.16.2
2014/08/10 00:00:06.185809 ;1334;2;0;10.5.1.110;10.5.15.2
2014/08/10 00:00:06.896004 ;1142;2;4;10.5.1.110;10.5.12.2
2014/08/10 00:00:09.734011 ;1334;2;0;10.5.1.110;10.5.17.2
2014/08/10 00:00:09.839789 ;1334;2;0;10.5.1.110;10.5.19.2
2014/08/10 00:00:10.287515 ;1334;2;0;10.5.1.110;10.5.16.2
2014/08/10 00:00:15.489484 ;1334;2;0;10.5.1.110;10.5.3.2
2014/08/10 00:00:17.809741 ;1334;2;0;10.5.1.110;10.5.3.2
2014/08/10 00:00:21.471099 ;1334;2;0;10.5.1.110;10.5.7.2
2014/08/10 00:00:21.707511 ;1334;2;0;10.5.1.110;10.5.6.2
2014/08/10 00:00:24.172468 ;1334;2;0;10.5.1.110;10.5.5.2
2014/08/10 00:00:28.926518 ;160;4;0;10.5.13.2;10.5.1.2
2014/08/10 00:00:29.912635 ;2118;3;1;10.5.17.2;10.5.1.2
2014/08/10 00:00:30.146745 ;3007;3;1;10.5.8.2;10.5.1.2
2014/08/10 00:00:32.829146 ;160;4;0;10.5.13.2;10.5.1.2
2014/08/10 00:00:34.191890 ;1334;2;0;10.5.1.110;10.5.12.2
2014/08/10 00:00:34.484714 ;1142;2;4;10.5.1.110;10.5.13.2
2014/08/10 00:00:35.465278 ;1334;2;0;10.5.1.110;10.5.13.2
2014/08/10 00:00:35.473266 ;1917;1;0;10.5.1.102;239.255.255.250
2014/08/10 00:00:37.486659 ;1334;2;0;10.5.1.110;10.5.15.2
2014/08/10 00:00:38.437613 ;1334;2;0;10.5.1.110;10.5.12.2
2014/08/10 00:00:38.473364 ;1917;1;0;10.5.1.102;239.255.255.250
2014/08/10 00:00:38.618118 ;1334;2;0;10.5.1.110;10.5.3.2
2014/08/10 00:00:41.473643 ;1917;1;0;10.5.1.102;239.255.255.250
2014/08/10 00:00:41.564751 ;1334;2;0;10.5.1.110;10.5.12.2
2014/08/10 00:00:42.132182 ;1334;2;0;10.5.1.110;10.5.3.2
2014/08/10 00:00:44.480883 ;1917;1;0;10.5.1.102;239.255.255.250
2014/08/10 00:00:45.492791 ;1142;2;4;10.5.1.110;10.5.3.2
2014/08/10 00:00:46.013696 ;1334;2;0;10.5.1.110;10.5.19.2
2014/08/10 00:00:46.534695 ;1334;2;0;10.5.1.110;10.5.16.2
2014/08/10 00:00:47.481018 ;1917;1;0;10.5.1.102;239.255.255.250
2014/08/10 00:00:49.221692 ;1334;2;0;10.5.1.110;10.5.3.2
2014/08/10 00:00:50.481110 ;1917;1;0;10.5.1.102;239.255.255.250
2014/08/10 00:00:55.056249 ;1334;2;0;10.5.1.110;10.5.7.2
2014/08/10 00:00:55.679140 ;160;4;0;10.5.13.2;10.5.1.2
2014/08/10 00:00:55.752471 ;2118;3;1;10.5.2.2;10.5.1.2
2014/08/10 00:00:55.967625 ;3007;3;1;10.5.13.2;10.5.1.2
2014/08/10 00:00:56.218575 ;1334;2;0;10.5.1.110;10.5.6.2
2014/08/10 00:00:58.936373 ;160;4;0;10.5.13.2;10.5.1.2
2014/08/10 00:01:00.948803 ;1142;2;4;10.5.1.110;10.5.16.2
2014/08/10 00:01:01.730891 ;3065;4;0;10.5.20.2;10.5.1.2
2014/08/10 00:01:01.730891 ;3065;4;0;10.5.20.2;10.5.1.2
2014/08/10 00:01:01.738831 ;3069;3;1;10.5.20.2;10.5.1.2
2014/08/10 00:01:03.128374 ;1334;2;0;10.5.1.110;10.5.3.2
2014/08/10 00:01:03.217434 ;1334;2;0;10.5.1.110;10.5.12.2
2014/08/10 00:01:04.628602 ;1334;2;0;10.5.1.110;10.5.3.2
2014/08/10 00:01:05.025151 ;1142;2;4;10.5.1.110;10.5.12.2
2014/08/10 00:01:06.616823 ;1334;2;0;10.5.1.110;10.5.13.2
2014/08/10 00:01:06.831782 ;1334;2;0;10.5.1.110;10.5.12.2
2014/08/10 00:01:08.620976 ;100000122;3;1;10.5.4.2;10.5.1.2
2014/08/10 00:01:09.841109 ;1334;2;0;10.5.1.110;10.5.15.2
2014/08/10 00:01:13.455549 ;1334;2;0;10.5.1.110;10.5.14.2
2014/08/10 00:01:15.054110 ;1334;2;0;10.5.1.110;10.5.16.2
2014/08/10 00:01:15.767805 ;1917;1;0;10.5.1.106;239.255.255.250
2014/08/10 00:01:16.003968 ;1334;2;0;10.5.1.110;10.5.3.2
2014/08/10 00:01:16.320659 ;1334;2;0;10.5.1.110;10.5.17.2
2014/08/10 00:01:16.497822 ;1334;2;0;10.5.1.110;10.5.16.2
2014/08/10 00:01:16.768531 ;1917;1;0;10.5.1.106;239.255.255.250
2014/08/10 00:01:17.397161 ;1334;2;0;10.5.1.110;10.5.5.2
2014/08/10 00:01:17.769169 ;1917;1;0;10.5.1.106;239.255.255.250
2014/08/10 00:01:18.769539 ;1917;1;0;10.5.1.106;239.255.255.250
2014/08/10 00:01:21.091826 ;2118;3;1;10.5.16.2;10.5.1.2
2014/08/10 00:01:21.329096 ;3007;3;1;10.5.13.2;10.5.1.2
2014/08/10 00:01:21.947344 ;1334;2;0;10.5.1.110;10.5.3.2
2014/08/10 00:01:22.384586 ;1334;2;0;10.5.1.110;10.5.16.2
2014/08/10 00:01:24.725940 ;1334;2;0;10.5.1.110;10.5.5.2
2014/08/10 00:01:25.842036 ;3065;4;0;10.5.10.2;10.5.1.2
2014/08/10 00:01:25.865895 ;3069;3;1;10.5.10.2;10.5.1.2
2014/08/10 00:01:27.269076 ;1142;2;4;10.5.1.110;10.5.3.2
2014/08/10 00:01:29.574736 ;1334;2;0;10.5.1.110;10.5.7.2
2014/08/10 00:01:29.605545 ;1334;2;0;10.5.1.110;10.5.6.2
2014/08/10 00:01:35.980312 ;1334;2;0;10.5.1.110;10.5.12.2
2014/08/10 00:01:38.245695 ;1334;2;0;10.5.1.110;10.5.12.2
2014/08/10 00:01:40.547363 ;1334;2;0;10.5.1.110;10.5.13.2
2014/08/10 00:01:41.408171 ;1334;2;0;10.5.1.110;10.5.15.2
2014/08/10 00:01:47.359383 ;2118;3;1;10.5.18.2;10.5.1.2
2014/08/10 00:01:47.577887 ;3007;3;1;10.5.4.2;10.5.1.2
2014/08/10 00:01:47.653103 ;1334;2;0;10.5.1.110;10.5.17.2
2014/08/10 00:01:47.988673 ;1334;2;0;10.5.1.110;10.5.19.2
2014/08/10 00:01:49.158714 ;1334;2;0;10.5.1.110;10.5.16.2
2014/08/10 00:01:51.986683 ;1334;2;0;10.5.1.110;10.5.19.2
2014/08/10 00:01:55.692587 ;1334;2;0;10.5.1.110;10.5.19.2
2014/08/10 00:01:56.446114 ;1334;2;0;10.5.1.110;10.5.19.2
2014/08/10 00:02:00.679763 ;1334;2;0;10.5.1.110;10.5.12.2
2014/08/10 00:02:01.026693 ;1334;2;0;10.5.1.110;10.5.7.2
2014/08/10 00:02:02.317202 ;1334;2;0;10.5.1.110;10.5.6.2
2014/08/10 00:02:02.470759 ;1334;2;0;10.5.1.110;10.5.5.2
2014/08/10 00:02:02.922173 ;1142;2;4;10.5.1.110;10.5.19.2
2014/08/10 00:02:12.462067 ;2118;3;1;10.5.5.2;10.5.1.2
2014/08/10 00:02:12.663402 ;3007;3;1;10.5.12.2;10.5.1.2
