timestamp;SID;Etapa;Subetapa;Remoto;Local;Fase
03/07-15:33:10.611612 ;585;2;0;202.77.162.213;172.16.115.20;3
03/07-15:33:10.621429 ;2256;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:10.621429 ;1911;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:12.642958 ;585;2;0;202.77.162.213;172.16.115.20;3
03/07-15:33:12.652687 ;2256;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:12.652687 ;1911;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:14.728748 ;716;4;10;202.77.162.213;172.16.115.20;3
03/07-15:33:18.830935 ;1251;3;0;202.77.162.213;172.16.115.20;3
03/07-15:33:18.830935 ;718;3;0;202.77.162.213;172.16.115.20;3
03/07-15:33:18.875888 ;585;2;0;202.77.162.213;172.16.115.20;3
03/07-15:33:18.885651 ;2256;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:18.885651 ;1911;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:20.913357 ;585;2;0;202.77.162.213;172.16.115.20;3
03/07-15:33:20.923039 ;2256;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:20.923039 ;1911;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:23.011892 ;716;4;10;202.77.162.213;172.16.115.20;3
03/07-15:33:27.111103 ;1251;3;0;202.77.162.213;172.16.115.20;3
03/07-15:33:27.111103 ;718;3;0;202.77.162.213;172.16.115.20;3
03/07-15:33:27.155926 ;585;2;0;202.77.162.213;172.16.115.20;3
03/07-15:33:27.165722 ;2256;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:27.165722 ;1911;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:29.205551 ;585;2;0;202.77.162.213;172.16.115.20;3
03/07-15:33:29.223090 ;2256;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:29.223090 ;1911;3;1;202.77.162.213;172.16.115.20;3
03/07-15:33:32.470221 ;716;4;10;202.77.162.213;172.16.115.20;3
03/07-15:34:36.436981 ;585;2;0;202.77.162.213;172.16.112.10;3
03/07-15:34:36.446841 ;2256;3;1;202.77.162.213;172.16.112.10;3
03/07-15:34:36.446841 ;1911;3;1;202.77.162.213;172.16.112.10;3
03/07-15:34:38.474587 ;585;2;0;202.77.162.213;172.16.112.10;3
03/07-15:34:38.484026 ;2256;3;1;202.77.162.213;172.16.112.10;3
03/07-15:34:38.484026 ;1911;3;1;202.77.162.213;172.16.112.10;3
03/07-15:34:40.543359 ;716;4;10;202.77.162.213;172.16.112.10;3
03/07-15:34:44.621003 ;1251;3;0;202.77.162.213;172.16.112.10;3
03/07-15:34:44.621003 ;718;3;0;202.77.162.213;172.16.112.10;3
03/07-15:34:44.666795 ;585;2;0;202.77.162.213;172.16.112.10;3
03/07-15:34:44.676326 ;2256;3;1;202.77.162.213;172.16.112.10;3
03/07-15:34:44.676326 ;1911;3;1;202.77.162.213;172.16.112.10;3
03/07-15:34:46.704832 ;585;2;0;202.77.162.213;172.16.112.10;3
03/07-15:34:46.714261 ;2256;3;1;202.77.162.213;172.16.112.10;3
03/07-15:34:46.714261 ;1911;3;1;202.77.162.213;172.16.112.10;3
03/07-15:34:48.774912 ;716;4;10;202.77.162.213;172.16.112.10;3
03/07-15:34:48.985966 ;585;2;0;202.77.162.213;172.16.112.50;3
03/07-15:34:48.995957 ;2256;3;1;202.77.162.213;172.16.112.50;3
03/07-15:34:48.995957 ;1911;3;1;202.77.162.213;172.16.112.50;3
03/07-15:34:51.024390 ;585;2;0;202.77.162.213;172.16.112.50;3
03/07-15:34:51.034172 ;2256;3;1;202.77.162.213;172.16.112.50;3
03/07-15:34:51.034172 ;1911;3;1;202.77.162.213;172.16.112.50;3
03/07-15:34:53.123560 ;716;4;10;202.77.162.213;172.16.112.50;3
03/07-15:34:57.221828 ;1251;3;0;202.77.162.213;172.16.112.50;3
03/07-15:34:57.221828 ;718;3;0;202.77.162.213;172.16.112.50;3
03/07-15:34:57.267014 ;585;2;0;202.77.162.213;172.16.112.50;3
03/07-15:34:57.277091 ;2256;3;1;202.77.162.213;172.16.112.50;3
03/07-15:34:57.277091 ;1911;3;1;202.77.162.213;172.16.112.50;3
03/07-15:34:59.304475 ;585;2;0;202.77.162.213;172.16.112.50;3
03/07-15:34:59.314251 ;2256;3;1;202.77.162.213;172.16.112.50;3
03/07-15:34:59.314251 ;1911;3;1;202.77.162.213;172.16.112.50;3
03/07-15:35:01.409188 ;716;4;10;202.77.162.213;172.16.112.50;3
