timestamp;SID;Etapa;Subetapa;Remoto;Local;Alerta
08/08-17:01:34.123897 ;366;1;0;10.5.9.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING Unix', itype:8, content:'|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:366, rev:11,)
08/08-17:01:34.123897 ;368;1;0;10.5.9.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING BSDtype', itype:8, content:'|08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:368, rev:10,)
08/08-17:01:34.123897 ;384;1;0;10.5.9.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING', icode:0, itype:8, metadata:ruleset community, classtype:misc-activity, sid:384, rev:8,)
08/08-17:08:23.321784 ;366;1;0;10.5.15.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING Unix', itype:8, content:'|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:366, rev:11,)
08/08-17:08:23.321784 ;384;1;0;10.5.15.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING', icode:0, itype:8, metadata:ruleset community, classtype:misc-activity, sid:384, rev:8,)
08/08-17:08:30.649410 ;366;1;0;10.5.8.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING Unix', itype:8, content:'|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:366, rev:11,)
08/08-17:08:30.649410 ;384;1;0;10.5.8.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING', icode:0, itype:8, metadata:ruleset community, classtype:misc-activity, sid:384, rev:8,)
08/08-17:11:29.577940 ;366;1;0;10.5.18.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING Unix', itype:8, content:'|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:366, rev:11,)
08/08-17:11:29.577940 ;368;1;0;10.5.18.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING BSDtype', itype:8, content:'|08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:368, rev:10,)
08/08-17:11:29.577940 ;384;1;0;10.5.18.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING', icode:0, itype:8, metadata:ruleset community, classtype:misc-activity, sid:384, rev:8,)
08/08-17:12:58.648565 ;366;1;0;10.5.17.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING Unix', itype:8, content:'|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:366, rev:11,)
08/08-17:12:58.648565 ;368;1;0;10.5.17.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING BSDtype', itype:8, content:'|08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:368, rev:10,)
08/08-17:12:58.648565 ;384;1;0;10.5.17.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING', icode:0, itype:8, metadata:ruleset community, classtype:misc-activity, sid:384, rev:8,)
08/08-17:12:59.649585 ;366;1;0;10.5.17.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING Unix', itype:8, content:'|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:366, rev:11,)
08/08-17:12:59.649585 ;368;1;0;10.5.17.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING BSDtype', itype:8, content:'|08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:368, rev:10,)
08/08-17:12:59.649585 ;384;1;0;10.5.17.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING', icode:0, itype:8, metadata:ruleset community, classtype:misc-activity, sid:384, rev:8,)
08/08-17:13:00.650718 ;366;1;0;10.5.17.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING Unix', itype:8, content:'|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:366, rev:11,)
08/08-17:13:00.650718 ;368;1;0;10.5.17.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING BSDtype', itype:8, content:'|08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:368, rev:10,)
