Local;Etapa 1;Etapa 2;Etapa 3;Etapa 4
172.16.115.5;1;0;0;0
172.16.112.194;12;52;0;0
172.16.115.20;2;8;20;5
172.16.115.87;2;14;0;0
172.16.115.234;1;0;0;0
172.16.113.50;2;1;0;0
172.16.113.84;1;0;0;0
172.16.113.105;2;13;0;0
172.16.113.148;2;16;0;0
172.16.113.168;1;0;0;0
172.16.113.169;1;0;0;0
172.16.113.204;1;0;0;0
172.16.113.207;1;0;0;0
172.16.112.10;2;6;12;3
172.16.112.20;1;0;0;0
172.16.112.50;2;6;12;3
172.16.112.100;2;24;0;0
172.16.112.105;2;24;0;0
172.16.112.149;1;0;0;0
172.16.112.207;1;0;0;0
172.16.117.132;0;1;0;0
131.84.1.31;0;0;266;0
