Remoto;Local;Etapa 1;Etapa 2;Etapa 3;Etapa 4
202.77.162.213;172.16.115.5;1;0;0;0
202.77.162.213;172.16.112.194;12;0;0;0
202.77.162.213;172.16.115.20;2;0;0;0
202.77.162.213;172.16.115.87;2;0;0;0
202.77.162.213;172.16.115.234;1;0;0;0
202.77.162.213;172.16.113.50;2;0;0;0
202.77.162.213;172.16.113.84;1;0;0;0
202.77.162.213;172.16.113.105;2;0;0;0
202.77.162.213;172.16.113.148;2;0;0;0
202.77.162.213;172.16.113.168;1;0;0;0
202.77.162.213;172.16.113.169;1;0;0;0
202.77.162.213;172.16.113.204;1;0;0;0
202.77.162.213;172.16.113.207;1;0;0;0
202.77.162.213;172.16.112.10;2;0;0;0
202.77.162.213;172.16.112.20;1;0;0;0
202.77.162.213;172.16.112.50;2;0;0;0
202.77.162.213;172.16.112.100;2;0;0;0
202.77.162.213;172.16.112.105;2;0;0;0
202.77.162.213;172.16.112.149;1;0;0;0
202.77.162.213;172.16.112.207;1;0;0;0
