timestamp;SID;Etapa;Subetapa;Remoto;Local
03/07-16:26:15.506681 ;716;2;1;202.77.162.213;172.16.115.20
03/07-16:27:51.174814 ;528;3;0;127.93.72.86;131.84.1.31
03/07-16:27:51.183436 ;528;3;0;127.192.221.148;131.84.1.31
03/07-16:27:51.209230 ;528;3;0;127.230.246.186;131.84.1.31
03/07-16:27:51.229332 ;528;3;0;127.177.55.200;131.84.1.31
03/07-16:27:51.272879 ;528;3;0;127.189.65.193;131.84.1.31
03/07-16:27:51.274214 ;528;3;0;127.115.205.97;131.84.1.31
03/07-16:27:51.277712 ;528;3;0;127.251.202.180;131.84.1.31
03/07-16:27:51.300031 ;528;3;0;127.188.250.89;131.84.1.31
03/07-16:27:51.383266 ;528;3;0;127.162.155.202;131.84.1.31
03/07-16:27:51.404305 ;528;3;0;127.212.69.124;131.84.1.31
03/07-16:27:51.404428 ;528;3;0;127.86.167.55;131.84.1.31
03/07-16:27:51.407706 ;528;3;0;127.204.32.37;131.84.1.31
03/07-16:27:51.476436 ;528;3;0;127.170.98.121;131.84.1.31
03/07-16:27:51.477914 ;528;3;0;127.106.251.100;131.84.1.31
03/07-16:27:51.498924 ;528;3;0;127.119.45.19;131.84.1.31
03/07-16:27:51.522903 ;528;3;0;127.11.8.18;131.84.1.31
03/07-16:27:51.526872 ;528;3;0;127.174.29.206;131.84.1.31
03/07-16:27:51.580028 ;528;3;0;127.243.122.100;131.84.1.31
03/07-16:27:51.590465 ;528;3;0;127.20.253.237;131.84.1.31
03/07-16:27:51.630699 ;528;3;0;127.10.120.100;131.84.1.31
03/07-16:27:51.636437 ;528;3;0;127.92.241.180;131.84.1.31
03/07-16:27:51.644838 ;528;3;0;127.128.29.187;131.84.1.31
03/07-16:27:51.675918 ;528;3;0;127.188.166.40;131.84.1.31
03/07-16:27:51.678138 ;528;3;0;127.55.231.189;131.84.1.31
03/07-16:27:51.707383 ;528;3;0;127.206.80.43;131.84.1.31
03/07-16:27:51.715745 ;528;3;0;127.27.221.200;131.84.1.31
03/07-16:27:51.739686 ;528;3;0;127.216.79.142;131.84.1.31
03/07-16:27:51.746754 ;528;3;0;127.215.109.89;131.84.1.31
03/07-16:27:51.811569 ;528;3;0;127.253.138.217;131.84.1.31
03/07-16:27:51.855684 ;528;3;0;127.18.156.189;131.84.1.31
03/07-16:27:51.910641 ;528;3;0;127.213.240.223;131.84.1.31
03/07-16:27:51.936433 ;528;3;0;127.46.215.94;131.84.1.31
03/07-16:27:51.938641 ;528;3;0;127.123.199.165;131.84.1.31
03/07-16:27:51.949164 ;528;3;0;127.158.106.174;131.84.1.31
03/07-16:27:51.970217 ;528;3;0;127.178.187.191;131.84.1.31
03/07-16:27:51.973971 ;528;3;0;127.63.18.28;131.84.1.31
03/07-16:27:51.980251 ;528;3;0;127.151.103.195;131.84.1.31
03/07-16:27:51.994118 ;528;3;0;127.252.59.29;131.84.1.31
03/07-16:27:52.016849 ;528;3;0;127.56.168.10;131.84.1.31
03/07-16:27:52.044437 ;528;3;0;127.181.150.111;131.84.1.31
03/07-16:27:52.046416 ;528;3;0;127.115.146.28;131.84.1.31
03/07-16:27:52.057042 ;528;3;0;127.217.194.25;131.84.1.31
03/07-16:27:52.069524 ;528;3;0;127.18.23.74;131.84.1.31
03/07-16:27:52.071427 ;528;3;0;127.156.118.203;131.84.1.31
03/07-16:27:52.103268 ;528;3;0;127.250.11.107;131.84.1.31
03/07-16:27:52.148770 ;528;3;0;127.251.104.41;131.84.1.31
03/07-16:27:52.223006 ;528;3;0;127.239.178.130;131.84.1.31
03/07-16:27:52.225938 ;528;3;0;127.46.76.45;131.84.1.31
03/07-16:27:52.228393 ;528;3;0;127.200.235.93;131.84.1.31
03/07-16:27:52.246630 ;528;3;0;127.132.146.1;131.84.1.31
03/07-16:27:52.250124 ;528;3;0;127.199.114.41;131.84.1.31
03/07-16:27:52.258074 ;528;3;0;127.173.197.242;131.84.1.31
03/07-16:27:52.279977 ;528;3;0;127.242.201.4;131.84.1.31
03/07-16:27:52.294550 ;528;3;0;127.162.68.107;131.84.1.31
03/07-16:27:52.297784 ;528;3;0;127.58.58.158;131.84.1.31
03/07-16:27:52.325064 ;528;3;0;127.121.248.50;131.84.1.31
03/07-16:27:52.335985 ;528;3;0;127.163.207.67;131.84.1.31
03/07-16:27:52.356325 ;528;3;0;127.194.48.58;131.84.1.31
03/07-16:27:52.379468 ;528;3;0;127.73.5.157;131.84.1.31
03/07-16:27:52.390562 ;528;3;0;127.222.46.206;131.84.1.31
03/07-16:27:52.394740 ;528;3;0;127.176.23.127;131.84.1.31
03/07-16:27:52.395151 ;528;3;0;127.246.172.20;131.84.1.31
03/07-16:27:52.428226 ;528;3;0;127.124.163.220;131.84.1.31
03/07-16:27:52.456254 ;528;3;0;127.70.121.88;131.84.1.31
03/07-16:27:52.476001 ;528;3;0;127.126.232.50;131.84.1.31
03/07-16:27:52.510410 ;528;3;0;127.39.226.157;131.84.1.31
03/07-16:27:52.512917 ;528;3;0;127.196.247.163;131.84.1.31
03/07-16:27:52.535668 ;528;3;0;127.93.87.245;131.84.1.31
03/07-16:27:52.563550 ;528;3;0;127.146.131.2;131.84.1.31
03/07-16:27:52.563624 ;528;3;0;127.209.192.254;131.84.1.31
03/07-16:27:52.567969 ;528;3;0;127.147.17.4;131.84.1.31
03/07-16:27:52.573243 ;528;3;0;127.255.137.73;131.84.1.31
03/07-16:27:52.575447 ;528;3;0;127.37.0.104;131.84.1.31
03/07-16:27:52.576044 ;528;3;0;127.36.137.177;131.84.1.31
03/07-16:27:52.603241 ;528;3;0;127.117.86.95;131.84.1.31
03/07-16:27:52.661775 ;528;3;0;127.56.59.71;131.84.1.31
03/07-16:27:52.678133 ;528;3;0;127.225.65.151;131.84.1.31
03/07-16:27:52.679798 ;528;3;0;127.170.13.55;131.84.1.31
03/07-16:27:52.751519 ;528;3;0;127.36.161.3;131.84.1.31
03/07-16:27:52.758617 ;528;3;0;127.29.227.152;131.84.1.31
03/07-16:27:52.795311 ;528;3;0;127.159.196.122;131.84.1.31
03/07-16:27:52.801033 ;528;3;0;127.28.176.147;131.84.1.31
03/07-16:27:52.838701 ;528;3;0;127.32.2.12;131.84.1.31
03/07-16:27:52.841404 ;528;3;0;127.74.118.57;131.84.1.31
03/07-16:27:52.869677 ;528;3;0;127.137.249.48;131.84.1.31
03/07-16:27:52.879809 ;528;3;0;127.9.41.102;131.84.1.31
03/07-16:27:52.893995 ;528;3;0;127.210.47.130;131.84.1.31
03/07-16:27:52.897345 ;528;3;0;127.138.253.236;131.84.1.31
03/07-16:27:52.940419 ;528;3;0;127.174.185.10;131.84.1.31
03/07-16:27:52.954742 ;528;3;0;127.25.81.85;131.84.1.31
03/07-16:27:53.001258 ;528;3;0;127.120.203.199;131.84.1.31
03/07-16:27:53.016001 ;528;3;0;127.251.21.74;131.84.1.31
03/07-16:27:53.021146 ;528;3;0;127.26.57.119;131.84.1.31
03/07-16:27:53.021917 ;528;3;0;127.108.35.16;131.84.1.31
03/07-16:27:53.062342 ;528;3;0;127.85.80.227;131.84.1.31
03/07-16:27:53.067568 ;528;3;0;127.192.161.239;131.84.1.31
03/07-16:27:53.073187 ;528;3;0;127.131.174.109;131.84.1.31
03/07-16:27:53.081344 ;528;3;0;127.239.238.27;131.84.1.31
03/07-16:27:53.169566 ;528;3;0;127.17.140.53;131.84.1.31
03/07-16:27:53.172284 ;528;3;0;127.235.170.134;131.84.1.31
03/07-16:27:53.215799 ;528;3;0;127.49.226.212;131.84.1.31
03/07-16:27:53.216218 ;528;3;0;127.89.85.1;131.84.1.31
03/07-16:27:53.238920 ;528;3;0;127.19.105.226;131.84.1.31
03/07-16:27:53.285505 ;528;3;0;127.208.99.175;131.84.1.31
03/07-16:27:53.286119 ;528;3;0;127.11.162.236;131.84.1.31
03/07-16:27:53.291284 ;528;3;0;127.64.47.105;131.84.1.31
03/07-16:27:53.291497 ;528;3;0;127.217.253.12;131.84.1.31
03/07-16:27:53.293551 ;528;3;0;127.213.104.194;131.84.1.31
03/07-16:27:53.298617 ;528;3;0;127.233.163.95;131.84.1.31
03/07-16:27:53.343743 ;528;3;0;127.140.92.160;131.84.1.31
03/07-16:27:53.365037 ;528;3;0;127.123.238.178;131.84.1.31
03/07-16:27:53.372451 ;528;3;0;127.35.184.38;131.84.1.31
03/07-16:27:53.442915 ;528;3;0;127.76.190.101;131.84.1.31
03/07-16:27:53.448376 ;528;3;0;127.133.29.129;131.84.1.31
03/07-16:27:53.493287 ;528;3;0;127.249.127.4;131.84.1.31
03/07-16:27:53.550225 ;528;3;0;127.254.70.156;131.84.1.31
03/07-16:27:53.555077 ;528;3;0;127.165.216.3;131.84.1.31
03/07-16:27:53.561942 ;528;3;0;127.176.6.213;131.84.1.31
03/07-16:27:53.565944 ;528;3;0;127.16.127.153;131.84.1.31
03/07-16:27:53.586582 ;528;3;0;127.53.249.134;131.84.1.31
03/07-16:27:53.596076 ;528;3;0;127.209.56.205;131.84.1.31
03/07-16:27:53.679540 ;528;3;0;127.146.215.206;131.84.1.31
03/07-16:27:53.693000 ;528;3;0;127.152.62.7;131.84.1.31
03/07-16:27:53.694121 ;528;3;0;127.239.36.89;131.84.1.31
03/07-16:27:53.696780 ;528;3;0;127.225.63.39;131.84.1.31
03/07-16:27:53.700697 ;528;3;0;127.179.98.180;131.84.1.31
03/07-16:27:53.704892 ;528;3;0;127.182.21.240;131.84.1.31
03/07-16:27:53.710397 ;528;3;0;127.71.160.44;131.84.1.31
03/07-16:27:53.714414 ;528;3;0;127.227.9.165;131.84.1.31
03/07-16:27:53.766525 ;528;3;0;127.158.57.191;131.84.1.31
03/07-16:27:53.768128 ;528;3;0;127.201.162.238;131.84.1.31
03/07-16:27:53.769272 ;528;3;0;127.229.136.173;131.84.1.31
03/07-16:27:53.794914 ;528;3;0;127.172.197.211;131.84.1.31
03/07-16:27:53.865776 ;528;3;0;127.251.221.119;131.84.1.31
03/07-16:27:53.876785 ;528;3;0;127.101.72.243;131.84.1.31
03/07-16:27:53.879860 ;528;3;0;127.93.55.203;131.84.1.31
03/07-16:27:53.970192 ;528;3;0;127.151.88.233;131.84.1.31
03/07-16:27:53.983112 ;528;3;0;127.231.200.67;131.84.1.31
03/07-16:27:54.044007 ;528;3;0;127.167.16.113;131.84.1.31
