Remoto;Etapa 1;Etapa 2;Etapa 3;Etapa 4
202.77.162.213;0;1;0;0
127.93.72.86;0;0;1;0
127.192.221.148;0;0;1;0
127.230.246.186;0;0;1;0
127.177.55.200;0;0;1;0
127.189.65.193;0;0;1;0
127.115.205.97;0;0;1;0
127.251.202.180;0;0;1;0
127.188.250.89;0;0;1;0
127.162.155.202;0;0;1;0
127.212.69.124;0;0;1;0
127.86.167.55;0;0;1;0
127.204.32.37;0;0;1;0
127.170.98.121;0;0;1;0
127.106.251.100;0;0;1;0
127.119.45.19;0;0;1;0
127.11.8.18;0;0;1;0
127.174.29.206;0;0;1;0
127.243.122.100;0;0;1;0
127.20.253.237;0;0;1;0
127.10.120.100;0;0;1;0
127.92.241.180;0;0;1;0
127.128.29.187;0;0;1;0
127.188.166.40;0;0;1;0
127.55.231.189;0;0;1;0
127.206.80.43;0;0;1;0
127.27.221.200;0;0;1;0
127.216.79.142;0;0;1;0
127.215.109.89;0;0;1;0
127.253.138.217;0;0;1;0
127.18.156.189;0;0;1;0
127.213.240.223;0;0;1;0
127.46.215.94;0;0;1;0
127.123.199.165;0;0;1;0
127.158.106.174;0;0;1;0
127.178.187.191;0;0;1;0
127.63.18.28;0;0;1;0
127.151.103.195;0;0;1;0
127.252.59.29;0;0;1;0
127.56.168.10;0;0;1;0
127.181.150.111;0;0;1;0
127.115.146.28;0;0;1;0
127.217.194.25;0;0;1;0
127.18.23.74;0;0;1;0
127.156.118.203;0;0;1;0
127.250.11.107;0;0;1;0
127.251.104.41;0;0;1;0
127.239.178.130;0;0;1;0
127.46.76.45;0;0;1;0
127.200.235.93;0;0;1;0
127.132.146.1;0;0;1;0
127.199.114.41;0;0;1;0
127.173.197.242;0;0;1;0
127.242.201.4;0;0;1;0
127.162.68.107;0;0;1;0
127.58.58.158;0;0;1;0
127.121.248.50;0;0;1;0
127.163.207.67;0;0;1;0
127.194.48.58;0;0;1;0
127.73.5.157;0;0;1;0
127.222.46.206;0;0;1;0
