Remoto;Etapa 1;Etapa 2;Etapa 3;Etapa 4
91.189.91.13;0;0;73;0
10.5.1.106;2955;2285;6;0
10.5.1.104;176;51;23;1
10.5.1.108;546;2;24;0
69.16.175.10;0;0;81;0
10.5.1.110;6;5899;6913;152766
10.5.1.2;82;684;10;2
10.5.9.2;67;135;654;196
23.61.194.163;0;0;1;0
10.5.1.102;1761;0;6974;0
10.5.15.2;34;164;626;187
10.5.8.2;17;162;606;200
198.232.124.225;0;0;1;0
74.125.129.157;0;1;0;0
10.5.18.2;62;180;660;210
10.5.17.2;64;144;657;196
23.212.52.18;0;0;1;0
23.212.52.17;0;0;3;0
10.5.12.2;65;175;654;200
10.5.7.2;48;164;640;191
10.5.13.2;29;161;594;187
74.125.224.165;0;5;0;0
10.5.6.2;31;161;701;229
10.5.1.103;34;24;94;1
74.125.239.9;0;0;9;0
74.125.224.163;0;4;0;0
10.5.1.1;13;60;0;0
199.27.79.133;0;0;1;0
10.5.2.2;42;147;648;204
10.5.4.2;25;174;593;184
10.5.3.2;22;159;615;170
10.5.20.2;29;149;635;182
74.125.224.162;0;7;0;0
184.51.102.59;0;0;1;0
10.5.1.105;0;8;0;1
10.5.11.2;44;176;588;201
10.5.10.2;50;187;603;174
10.5.16.2;41;143;721;195
10.5.19.2;46;188;611;184
10.5.14.2;62;176;638;193
10.5.5.2;27;163;655;192
10.5.1.107;22;0;3;0
192.101.102.2;0;0;142;0
23.203.211.51;0;0;1;0
23.61.194.251;0;0;1;0
178.255.83.2;0;0;1;0
93.184.215.191;0;0;297;0
74.125.224.166;0;2;0;0
108.161.188.224;0;0;1;0
74.125.224.168;0;3;0;0
64.94.107.24;0;1;0;0
23.21.86.68;0;1;0;0
74.125.224.186;0;0;2;2
23.21.215.5;0;6;0;0
54.243.169.120;0;2;0;0
184.28.16.72;0;1;0;0
216.34.181.96;0;0;2;0
74.125.224.185;0;1;0;0
64.94.107.53;0;1;0;0
107.20.143.131;0;1;0;0
107.21.109.142;0;3;0;0
147.91.1.121;0;0;1;0
64.94.107.43;0;1;0;0
74.125.239.0;0;1;0;0
141.101.114.59;0;0;1;0
0.0.0.0;0;0;56;0
64.94.107.52;0;1;0;0
23.21.122.50;0;2;0;0
23.203.59.231;0;1;0;0
64.94.107.47;0;1;0;0
23.203.217.63;0;0;2;0
::;0;0;44;0
10.5.1.109;0;435;54;228
fe80::6a5b:35ff:fe91:f561;0;38;0;0
fe80::225:ff:fea5:4bdc;0;8;0;0
