Remoto;Local;Etapa 1;Etapa 2;Etapa 3;Etapa 4
91.189.91.13;10.5.1.104;0;0;73;0
10.5.1.106;239.255.255.250;2951;0;0;0
10.5.1.104;91.189.91.13;0;12;0;0
10.5.1.108;239.255.255.250;546;0;0;0
69.16.175.10;10.5.1.110;0;0;81;0
10.5.1.110;128.101.240.212;0;5;0;0
10.5.1.110;128.30.2.36;0;8;0;0
10.5.1.2;10.3.1.5;60;0;0;0
10.5.9.2;10.5.1.2;25;130;652;196
10.5.1.108;23.61.194.163;0;0;2;0
23.61.194.163;10.5.1.108;0;0;1;0
10.5.1.102;239.255.255.250;1745;0;6970;0
10.5.1.108;134.170.51.253;0;0;3;0
10.5.1.104;134.170.51.253;0;0;2;0
10.5.1.104;10.5.1.1;74;0;0;0
10.5.1.104;239.255.255.250;79;0;0;0
10.5.15.2;10.5.1.2;19;163;624;187
10.5.8.2;10.5.1.2;6;161;601;200
10.5.1.108;74.125.224.176;0;0;3;0
198.232.124.225;10.5.1.108;0;0;1;0
74.125.129.157;10.5.1.108;0;1;0;0
10.5.18.2;10.5.1.2;32;178;657;210
10.5.17.2;10.5.1.2;28;140;652;196
23.212.52.18;10.5.1.103;0;0;1;0
23.212.52.17;10.5.1.103;0;0;3;0
10.5.12.2;10.5.1.2;24;172;648;200
10.5.7.2;10.5.1.2;21;161;631;191
10.5.13.2;10.5.1.2;11;157;589;187
74.125.224.165;10.5.1.103;0;4;0;0
10.5.6.2;10.5.1.2;14;158;697;229
10.5.1.103;207.46.114.61;0;0;1;0
10.5.1.103;134.170.51.253;0;0;3;0
74.125.239.9;10.5.1.110;0;0;9;0
74.125.224.163;10.5.1.103;0;4;0;0
10.5.1.1;10.5.1.103;1;8;0;0
199.27.79.133;10.5.1.103;0;0;1;0
10.5.1.103;108.168.209.244;0;0;1;0
10.5.1.103;74.125.224.163;0;0;1;0
10.5.1.103;23.61.194.218;0;2;1;0
10.5.1.103;23.235.47.134;0;0;1;0
10.5.1.103;173.192.42.178;0;0;1;0
10.5.1.108;74.125.224.179;0;0;1;0
10.5.2.2;10.5.1.2;9;143;645;204
10.5.4.2;10.5.1.2;0;170;588;184
10.5.1.106;10.5.3.2;0;120;0;0
