Local;Etapa 1;Etapa 2;Etapa 3;Etapa 4
10.5.1.104;48;9;228;0
239.255.255.250;5325;0;6970;0
91.189.91.13;0;12;0;0
10.5.1.110;48;11;401;0
128.101.240.212;0;5;0;0
128.30.2.36;0;8;0;0
10.3.1.5;122;1;63;0
10.5.1.2;281;3075;12006;3677
23.61.194.163;0;0;2;0
10.5.1.108;42;49;10;0
134.170.51.253;0;0;8;0
10.5.1.1;80;13;3;0
74.125.224.176;0;0;3;0
10.5.1.103;49;30;21;0
207.46.114.61;0;0;1;0
108.168.209.244;0;0;1;0
74.125.224.163;0;0;1;0
23.61.194.218;0;2;1;0
23.235.47.134;0;0;1;0
173.192.42.178;0;0;1;0
74.125.224.179;0;0;1;0
10.5.3.2;0;1292;833;27196
10.5.11.2;0;259;69;3350
74.125.224.177;0;0;3;0
23.203.216.143;0;0;3;0
23.211.11.213;0;1;1;0
184.51.102.10;0;0;37;0
184.51.102.59;0;9;16;0
66.235.138.195;0;0;1;0
10.5.7.2;0;301;2042;16837
10.5.4.2;0;252;105;4598
10.5.15.2;0;447;143;3223
10.5.1.105;51;5;9;0
10.5.1.3;44;5;14;0
10.5.1.109;50;10;12;0
10.5.1.102;47;5;2;0
10.5.1.106;54;5;8;0
10.5.1.107;50;5;4;0
10.5.10.2;0;450;914;27940
10.5.2.2;0;135;82;135
10.5.8.2;0;230;688;21953
10.5.12.2;0;1059;95;4033
10.5.16.2;0;464;257;4830
10.5.20.2;0;160;1;100
10.5.17.2;0;316;1;663
10.5.6.2;0;574;99;4255
10.5.18.2;0;417;374;6020
10.5.9.2;0;332;6;793
10.5.13.2;0;323;737;20126
10.5.19.2;0;1006;413;1989
10.5.5.2;0;531;98;4161
10.5.14.2;0;453;1;797
23.203.211.51;0;1;0;0
54.209.66.143;0;2;0;0
54.88.12.157;0;2;2;0
74.125.224.173;0;6;0;0
74.125.224.167;0;1;0;0
23.61.194.250;0;0;1;0
74.125.224.178;0;0;1;0
74.125.224.168;0;0;5;0
74.125.224.180;0;0;11;0
184.28.16.72;0;1;0;0
74.125.224.165;0;1;1;0
74.125.239.0;0;0;1;0
255.255.255.255;0;0;56;0
23.61.194.241;0;0;4;0
10.5.8.101;0;13;0;0
ff02::1:ffff:3b67;0;0;1;0
8.8.8.8;24;0;0;0
17.158.10.42;23;0;0;0
ff02::1:ff37:7edb;0;0;13;0
ff02::16;0;0;18;0
ff02::1:ff6c:7c3e;0;0;1;0
ff02::1:ff11:7e42;0;0;3;0
ff02::1:fffd:436d;0;0;1;0
ff02::1:ffef:3638;0;0;2;0
10.5.1.101;54;5;6;0
64.4.10.33;4;0;0;0
224.0.0.251;0;46;0;0
ff02::fb;0;46;0;0
10.5.6.113;4;0;0;0
10.5.6.1;0;16;0;0
10.5.13.1;0;15;0;0
10.5.10.1;0;14;0;0
10.5.19.1;0;18;0;0
10.5.3.1;0;9;0;0
10.5.16.1;0;6;0;0
10.5.12.1;0;6;0;0
10.5.7.1;0;17;0;0
10.5.17.1;0;14;0;0
10.5.20.1;0;16;0;0
10.5.4.1;0;8;0;0
10.5.11.1;0;9;0;0
10.5.8.1;0;16;0;0
10.5.9.1;0;10;0;0
10.5.2.1;0;13;0;0
10.5.14.1;0;12;0;0
10.5.15.1;0;14;0;0
10.5.18.1;0;9;0;0
ff02::1:ff91:f561;0;0;5;0
10.5.3.12;0;41;0;0
