timestamp;SID;Etapa;Subetapa;Remoto;Local;Alerta
08/08-17:01:34.123897 ;366;1;0;10.5.9.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING Unix', itype:8, content:'|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:366, rev:11,)
08/08-17:01:34.123897 ;368;1;0;10.5.9.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING BSDtype', itype:8, content:'|08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:368, rev:10,)
08/08-17:01:34.123897 ;384;1;0;10.5.9.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING', icode:0, itype:8, metadata:ruleset community, classtype:misc-activity, sid:384, rev:8,)
08/08-17:15:24.710962 ;366;1;0;10.5.9.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING Unix', itype:8, content:'|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:366, rev:11,)
08/08-17:15:24.710962 ;384;1;0;10.5.9.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING', icode:0, itype:8, metadata:ruleset community, classtype:misc-activity, sid:384, rev:8,)
08/08-17:15:25.713240 ;366;1;0;10.5.9.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING Unix', itype:8, content:'|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|', depth:32, metadata:ruleset community, classtype:misc-activity, sid:366, rev:11,)
08/08-17:15:25.713240 ;384;1;0;10.5.9.2;10.5.1.2;alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:'PROTOCOL-ICMP PING', icode:0, itype:8, metadata:ruleset community, classtype:misc-activity, sid:384, rev:8,)
08/08-18:36:47.241973 ;100000122;3;1;10.5.9.2;10.5.1.2;alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS (msg: 'COMMUNITY WEB-MISC mod_jrun overflow attempt', flow:to_server,established, content:'|3A|', pcre:'/^.*x3a[^\n]{1000}/sm', reference:bugtraq,11245, reference:cve,2004-0646, classtype:web-application-attack, sid:100000122, rev:1,)
08/08-18:47:26.895963 ;100000122;3;1;10.5.9.2;10.5.1.2;alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS (msg: 'COMMUNITY WEB-MISC mod_jrun overflow attempt', flow:to_server,established, content:'|3A|', pcre:'/^.*x3a[^\n]{1000}/sm', reference:bugtraq,11245, reference:cve,2004-0646, classtype:web-application-attack, sid:100000122, rev:1,)
08/08-19:17:11.541237 ;100000122;3;1;10.5.9.2;10.5.1.2;alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS (msg: 'COMMUNITY WEB-MISC mod_jrun overflow attempt', flow:to_server,established, content:'|3A|', pcre:'/^.*x3a[^\n]{1000}/sm', reference:bugtraq,11245, reference:cve,2004-0646, classtype:web-application-attack, sid:100000122, rev:1,)
08/08-19:32:26.317900 ;100000122;3;1;10.5.9.2;10.5.1.2;alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS (msg: 'COMMUNITY WEB-MISC mod_jrun overflow attempt', flow:to_server,established, content:'|3A|', pcre:'/^.*x3a[^\n]{1000}/sm', reference:bugtraq,11245, reference:cve,2004-0646, classtype:web-application-attack, sid:100000122, rev:1,)
08/08-20:21:52.078953 ;100000122;3;1;10.5.9.2;10.5.1.2;alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS (msg: 'COMMUNITY WEB-MISC mod_jrun overflow attempt', flow:to_server,established, content:'|3A|', pcre:'/^.*x3a[^\n]{1000}/sm', reference:bugtraq,11245, reference:cve,2004-0646, classtype:web-application-attack, sid:100000122, rev:1,)
08/08-20:52:01.850839 ;100000122;3;1;10.5.9.2;10.5.1.2;alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS (msg: 'COMMUNITY WEB-MISC mod_jrun overflow attempt', flow:to_server,established, content:'|3A|', pcre:'/^.*x3a[^\n]{1000}/sm', reference:bugtraq,11245, reference:cve,2004-0646, classtype:web-application-attack, sid:100000122, rev:1,)
08/08-20:57:55.709838 ;1122;3;1;10.5.9.2;10.5.1.2;alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS (msg:'SERVER-WEBAPP /etc/passwd file access attempt', flow:to_server,established, content:'/etc/passwd', fast_pattern:only, http_uri, metadata:policy max-detect-ips drop, ruleset community, service http, reference:url,attack.mitre.org/techniques/T1087, classtype:attempted-recon, sid:1122, rev:16,)
08/08-23:00:16.098041 ;1325;3;1;10.5.9.2;10.5.1.2;alert tcp $EXTERNAL_NET any -> $HOME_NET $SSH_PORTS (msg:'INDICATOR-SHELLCODE ssh CRC32 overflow filler', flow:to_server,established, content:'|00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00|', fast_pattern:only, metadata:policy max-detect-ips drop, ruleset community, reference:bugtraq,2347, reference:cve,2001-0144, reference:cve,2001-0572, classtype:shellcode-detect, sid:1325, rev:14,)
